,name,height,weight,collage,born,birth_city,birth_state
0,Al Harrington,206,104,,1980,Orange,New Jersey
1,J.R. Henderson,206,104,,1980,,
2,Bruno Sundov,218,99,,1980,Split,Croatia
3,Jonathan Bender,211,91,,1981,Picayune,Mississippi
4,Dalibor Bagaric,216,115,,1980,Croatia,
5,Jamal Crawford,196,90,University of Michigan,1980,Seattle,Washington
6,Keyon Dooling,190,88,University of Missouri,1980,Ft. Lauderdale,Florida
7,Donnell Harvey,203,99,University of Florida,1980,Shellman,Georgia
8,Darius Miles,206,95,,1981,Belleville,Illinois
9,Mike Miller,203,98,University of Florida,1980,Mitchell,South Dakota
10,Olumide Oyedeji,208,108,,1981,Ibadan,Nigeria
11,Quentin Richardson,198,101,DePaul University,1980,Chicago,Illinois
12,DeShawn Stevenson,196,95,,1981,Fresno,California
13,Gilbert Arenas,190,86,University of Arizona,1982,Los Angeles,California
14,Brandon Armstrong,196,85,Pepperdine University,1980,San Francisco,California
15,Jamison Brewer,193,83,Auburn University,1980,East Point,Georgia
16,Kedrick Brown,201,100,Okaloosa-Walton Community College,1981,Zachary,Louisiana
17,Kwame Brown,211,122,,1982,Charleston,South Carolina
18,Tyson Chandler,216,108,,1982,Hanford,California
19,Eddy Curry,213,133,,1982,Harvey,Illinois
20,Samuel Dalembert,211,115,Seton Hall University,1981,Port-Au-Prince,Haiti
21,DeSagana Diop,213,136,,1982,Dakar,Senegal
22,Joseph Forte,193,87,University of North Carolina,1981,Atlanta,Georgia
23,Antonis Fotsis,208,99,,1981,Athens,Greece
24,Pau Gasol,213,113,,1980,Barcelona,Spain
25,Eddie Griffin,208,99,Seton Hall University,1982,Philadelphia,Pennsylvania
26,Steven Hunter,213,99,DePaul University,1981,Chicago,Illinois
27,Richard Jefferson,201,105,University of Arizona,1980,Los Angeles,California
28,Andrei Kirilenko,206,99,,1981,Izhevsk,Russia
29,Troy Murphy,211,111,University of Notre Dame,1980,Morristown,New Jersey
30,Tony Parker,188,83,,1982,Bruges,Belgium
31,Vladimir Radmanovic,208,102,,1980,Trebinje Srpska-Bih,Bosnia and Herzegovina
32,Zach Randolph,206,117,Michigan State University,1981,Marion,Indiana
33,Jason Richardson,198,99,Michigan State University,1981,Saginaw,Michigan
34,Kenny Satterfield,188,84,University of Cincinnati,1981,New York,New York
35,Bobby Simmons,201,95,DePaul University,1980,Chicago,Illinois
36,Leon Smith,208,106,,1980,Chicago,Illinois
37,Gerald Wallace,201,97,University of Alabama,1982,Sylacauga,Alabama
38,Robert Archibald,211,113,University of Illinois at Urbana-Champaign,1980,Paisley,United Kingdom
39,Carlos Boozer,206,117,Duke University,1981,Aschaffenburg,Germany
40,J.R. Bremer,206,117,,1981,,
41,Caron Butler,201,103,University of Connecticut,1980,Racine,Wisconsin
42,Reggie Evans,203,111,University of Iowa,1980,Pensacola,Florida
43,Drew Gooden,208,113,University of Kansas,1981,Oakland,California
44,Marcus Haislip,208,104,University of Tennessee,1980,Lewisburg,Tennessee
45,Adam Harrington,196,90,Auburn University,1980,Bernardston,Massachusetts
46,Junior Harrington,193,81,Wingate University,1980,Wagram,North Carolina
47,Nene Hilario,211,113,,1982,Sao Carlos,Brazil
48,Casey Jacobsen,198,97,Stanford University,1981,Glendora,California
49,Chris Jefferies,203,102,"California State University, Fresno",1980,Fresno,California
50,Jared Jeffries,211,104,Indiana University,1981,Bloomington,Indiana
51,Tito Maddox,193,86,"California State University, Fresno",1981,Compton,California
52,Roger Mason,196,90,University of Virginia,1980,Washington,District of Columbia
53,Yao Ming*,229,140,,1980,Shanghai,China
54,Bostjan Nachbar,206,100,,1980,Slovenj Gradec,Slovenia
55,Smush Parker,193,86,Fordham University,1981,New York,New York
56,Tayshaun Prince,206,96,University of Kentucky,1980,Compton,California
57,Kareem Rush,198,97,University of Missouri,1980,Kansas City,Missouri
58,Jamal Sampson,211,106,University of California,1983,Inglewood,California
59,Tamar Slay,203,97,Marshall University,1980,Beckley,West Virginia
60,Amar'e Stoudemire,208,111,,1982,Lake Wales,Florida
61,Nikoloz Tskitishvili,213,102,,1983,Tbilisi,Georgia
62,Jiri Welsch,201,94,,1980,Pardubice,Czech Republic
63,Chris Wilcox,208,100,University of Maryland,1982,Raleigh,North Carolina
64,Qyntel Woods,203,100,Northeast Mississippi Community College,1981,Memphis,Tennessee
65,Vincent Yarbrough,201,95,University of Tennessee,1981,Cleveland,Tennessee
66,Carmelo Anthony,203,108,Syracuse University,1984,New York,New York
67,Marcus Banks,188,90,"University of Nevada, Las Vegas",1981,Las Vegas,Nevada
68,Leandro Barbosa,190,87,,1982,San Paulo,Brazil
69,Jerome Beasley,208,107,University of North Dakota,1980,Compton,California
70,Troy Bell,185,81,Boston College,1980,Minneapolis,Minnesota
71,Steve Blake,190,78,University of Maryland,1980,Hollywood,Florida
72,Keith Bogans,196,97,University of Kentucky,1980,Alexandria,Virginia
73,Curtis Borchardt,213,108,Stanford University,1980,Buffalo,New York
74,Chris Bosh,211,106,Georgia Institute of Technology,1984,Dallas,Texas
75,Zarko Cabarkapa,211,106,,1981,Zrenjanin,Serbia
76,Matt Carroll,198,96,University of Notre Dame,1980,Pittsburgh,Pennsylvania
77,Brian Cook,206,106,University of Illinois at Urbana-Champaign,1980,Lincoln,Illinois
78,Omar Cook,185,86,St. John's University,1982,Brooklyn,New York
79,Marquis Daniels,198,90,Auburn University,1981,Jasper,Florida
80,Boris Diaw,203,113,,1982,Cormeille-en-Parisis,France
81,Ronald Dupree,201,94,Louisiana State University,1981,Biloxi,Mississippi
82,Ndudi Ebi,206,90,,1984,London,United Kingdom
83,Hiram Fuller,206,108,"California State University, Fresno",1981,East St. Louis,Missouri
84,Reece Gaines,198,92,University of Louisville,1981,Madison,Wisconsin
85,Alex Garcia,190,99,,1980,Orlandia,Brazil
86,Willie Green,193,90,University of Detroit Mercy,1981,Detroit,Michigan
87,Udonis Haslem,203,106,University of Florida,1980,Miami,Florida
88,Jarvis Hayes,201,99,University of Georgia,1981,Atlanta,Georgia
89,Kirk Hinrich,193,86,University of Kansas,1981,Sioux City,Iowa
90,Josh Howard,201,95,Wake Forest University,1980,Winston-Salem,North Carolina
91,Brandon Hunter,201,117,Ohio University,1980,Cincinnati,Ohio
92,LeBron James,203,113,,1984,Akron,Ohio
93,Linton Johnson,203,92,Tulane University,1980,Chicago,Illinois
94,Chris Kaman,213,120,Central Michigan University,1982,Wyoming,Michigan
95,Jason Kapono,203,96,"University of California, Los Angeles",1981,Long Beach,California
96,Kyle Korver,201,96,Creighton University,1981,Lakewood,California
97,Maciej Lampe,211,124,,1985,Lodz,Poland
98,Raul Lopez,185,77,,1980,Vic,Spain
99,Darko Milicic,213,113,,1985,Novi Sad,Serbia
100,Travis Outlaw,206,95,,1984,Starkville,Mississippi
101,Zaza Pachulia,211,122,,1984,Tbilisi,Georgia
102,Sasha Pavlovic,211,122,,1984,,
103,Desmond Penigar,201,111,Utah State University,1981,Upland,California
104,Kirk Penney,196,99,University of Wisconsin,1980,Auckland,New Zealand
105,Kendrick Perkins,208,122,,1984,Nederland,Texas
106,Mickael Pietrus,198,97,,1982,Les Abymes,Guadeloupe
107,Zoran Planinic,201,88,,1982,Mostar,Bosnia and Herzegovina
108,Luke Ridnour,188,79,University of Oregon,1981,Coeur d'Alene,Idaho
109,Theron Smith,203,102,Ball State University,1980,Bartow,Florida
110,Mike Sweetney,203,124,Georgetown University,1982,Oxon Hill,Maryland
111,Slavko Vranes,226,124,,1983,Belgrade,Serbia
112,Dwyane Wade,193,99,Marquette University,1982,Chicago,Illinois
113,Luke Walton,203,106,University of Arizona,1980,San Diego,California
114,David West,206,113,Xavier University,1980,Teaneck,New Jersey
115,Tony Allen,193,96,Oklahoma State University,1982,Chicago,Illinois
