,Unnamed: 0,register_value,name, Salary in $ ,season_start,season_end,team,full_team_name
0,0,10717.0,A.J. Hammons," $650,000.00 ",2016.0,2017.0,DAL,Dallas Mavericks
1,1,11326.0,A.J. Hammons," $1,312,611.00 ",2017.0,2018.0,MIA,Miami Heat
2,2,7486.0,A.J. Price," $457,588.00 ",2009.0,2010.0,IND,Indiana Pacers
3,3,7944.0,A.J. Price," $762,195.00 ",2010.0,2011.0,IND,Indiana Pacers
4,4,8348.0,A.J. Price," $854,389.00 ",2011.0,2012.0,IND,Indiana Pacers
5,5,8801.0,A.J. Price," $885,120.00 ",2012.0,2013.0,WAS,Washington Wizards
6,6,9627.0,A.J. Price," $62,552.00 ",2014.0,2015.0,PHO,Phoenix Suns
7,7,7064.0,Aaron Brooks," $1,045,560.00 ",2008.0,2009.0,HOU,Houston Rockets
8,8,7487.0,Aaron Brooks," $1,118,520.00 ",2009.0,2010.0,HOU,Houston Rockets
9,9,8802.0,Aaron Brooks," $3,250,000.00 ",2012.0,2013.0,SAC,Sacramento Kings
10,10,9230.0,Aaron Brooks," $3,396,250.00 ",2013.0,2014.0,SAC,Sacramento Kings
11,11,9231.0,Aaron Brooks," $1,027,424.00 ",2013.0,2014.0,HOU,Houston Rockets
12,12,10154.0,Aaron Brooks," $2,000,000.00 ",2015.0,2016.0,CHI,Chicago Bulls
13,13,10718.0,Aaron Brooks," $2,700,000.00 ",2016.0,2017.0,IND,Indiana Pacers
14,14,11327.0,Aaron Brooks," $2,116,955.00 ",2017.0,2018.0,MIN,Minnesota Timberwolves
15,15,9628.0,Aaron Craft," $35,000.00 ",2014.0,2015.0,GSW,Golden State Warriors
16,16,9629.0,Aaron Gordon," $3,992,040.00 ",2014.0,2015.0,ORL,Orlando Magic
17,17,10155.0,Aaron Gordon," $4,171,680.00 ",2015.0,2016.0,ORL,Orlando Magic
18,18,10719.0,Aaron Gordon," $4,351,320.00 ",2016.0,2017.0,ORL,Orlando Magic
19,19,11328.0,Aaron Gordon," $5,504,420.00 ",2017.0,2018.0,ORL,Orlando Magic
20,20,6659.0,Aaron Gray," $427,163.00 ",2007.0,2008.0,CHI,Chicago Bulls
21,21,7065.0,Aaron Gray," $711,517.00 ",2008.0,2009.0,CHI,Chicago Bulls
22,22,7488.0,Aaron Gray," $1,000,497.00 ",2009.0,2010.0,NOH,New Orleans Pelicans
23,23,7945.0,Aaron Gray," $1,028,840.00 ",2010.0,2011.0,NOH,New Orleans Pelicans
24,24,8349.0,Aaron Gray," $2,500,000.00 ",2011.0,2012.0,TOR,Toronto Raptors 
25,25,8803.0,Aaron Gray," $2,575,000.00 ",2012.0,2013.0,TOR,Toronto Raptors 
26,26,9232.0,Aaron Gray," $2,690,875.00 ",2013.0,2014.0,TOR,Toronto Raptors 
27,27,9630.0,Aaron Gray," $1,227,985.00 ",2014.0,2015.0,DET,Detroit Pistons
28,28,10156.0,Aaron Gray," $452,059.00 ",2015.0,2016.0,DET,Detroit Pistons
29,29,10720.0,Aaron Gray," $452,059.00 ",2016.0,2017.0,DET,Detroit Pistons
30,30,11329.0,Aaron Gray," $452,059.00 ",2017.0,2018.0,DET,Detroit Pistons
31,31,10157.0,Aaron Harrison," $525,093.00 ",2015.0,2016.0,CHA,Charlotte Hornets
32,32,10721.0,Aaron Harrison," $375,579.00 ",2016.0,2017.0,CHA,Charlotte Hornets
33,33,6660.0,Aaron McKie," $750,000.00 ",2007.0,2008.0,MEM,Memphis Grizzlies
34,34,6661.0,Aaron Williams," $1,890,000.00 ",2007.0,2008.0,LAC,Los Angeles Clippers
35,35,11330.0,Abdel Nader," $1,167,333.00 ",2017.0,2018.0,BOS,Boston Celtic
36,36,6662.0,Acie Law," $1,927,080.00 ",2007.0,2008.0,ATL,Atlanta Hawks
37,37,7066.0,Acie Law," $2,071,680.00 ",2008.0,2009.0,ATL,Atlanta Hawks
38,38,7489.0,Acie Law," $2,216,160.00 ",2009.0,2010.0,CHI,Chicago Bulls
39,39,7946.0,Acie Law," $656,030.00 ",2010.0,2011.0,GSW,Golden State Warriors
40,40,7947.0,Acie Law," $203,057.00 ",2010.0,2011.0,MEM,Memphis Grizzlies
41,41,7067.0,Adam Morrison," $4,159,200.00 ",2008.0,2009.0,LAL,Los Angeles Lakers
42,42,7490.0,Adam Morrison," $5,257,229.00 ",2009.0,2010.0,LAL,Los Angeles Lakers
43,43,6663.0,Adonal Foyle," $8,937,500.00 ",2007.0,2008.0,GSW,Golden State Warriors
44,44,6664.0,Adonal Foyle," $1,219,590.00 ",2007.0,2008.0,ORL,Orlando Magic
45,45,7068.0,Adonal Foyle," $1,262,275.00 ",2008.0,2009.0,MEM,Memphis Grizzlies
46,46,7491.0,Adonal Foyle," $1,306,455.00 ",2009.0,2010.0,ORL,Orlando Magic
47,47,10158.0,Adonis Thomas," $60,000.00 ",2015.0,2016.0,DET,Detroit Pistons
48,48,9631.0,Adreian Payne," $1,855,320.00 ",2014.0,2015.0,MIN,Minnesota Timberwolves
49,49,10159.0,Adreian Payne," $1,938,840.00 ",2015.0,2016.0,MIN,Minnesota Timberwolves
50,50,10722.0,Adreian Payne," $2,022,240.00 ",2016.0,2017.0,MIN,Minnesota Timberwolves
51,51,6665.0,Adrian Griffin," $1,593,000.00 ",2007.0,2008.0,OKC,Oklahoma City Thunder
